feature_idx,freq_verbose,freq_concise,concise_score,class
0,0.009412353,0.010745518,0.001333165,stable
1,0.0022950394,0.00033595518,-0.001959084,stable
2,0.008696696,0.009222222,0.0005255258,stable
3,0.006737051,0.005234507,-0.0015025442,stable
4,0.0073192236,0.00060180284,-0.0067174206,verbose_rise
5,0.012221141,0.0144488765,0.0022277357,stable
6,0.012844817,0.003414516,-0.0094303,verbose_rise
7,0.008887389,0.010853764,0.001966375,stable
8,0.005816119,0.0070797363,0.0012636175,stable
9,0.00092093216,0.018925661,0.018004728,concise_rise
10,0.0014784271,0.00055076455,-0.00092766254,stable
11,0.0089737605,0.0029069376,-0.006066823,verbose_rise
12,0.0006965882,0.004537358,0.0038407696,stable
13,0.0058183623,0.0046624294,-0.0011559329,stable
14,0.007854284,0.013838099,0.0059838155,concise_rise
15,0.006792015,2.6921283e-05,-0.0067650937,verbose_rise
16,0.0032709357,0.001651172,-0.0016197638,stable
17,0.00012787609,0.010221675,0.010093799,concise_rise
18,0.003734206,0.00455194,0.00081773405,stable
19,0.0064947596,0.013799401,0.0073046414,concise_rise
20,0.004862657,0.0041127866,-0.0007498702,stable
21,0.0013640117,0.0014913268,0.00012731517,stable
22,0.007997864,0.0075559067,-0.00044195727,stable
23,3.92602e-05,0.0061952597,0.0061559994,concise_rise
24,0.0030746348,0.001422902,-0.0016517328,stable
25,0.007157696,0.009125194,0.0019674976,stable
26,0.005344996,0.0071666697,0.0018216735,stable
27,8.4129e-05,0.004615878,0.004531749,stable
28,0.0026921283,0.0070954408,0.0044033127,stable
29,0.009192497,0.00068649265,-0.008506004,verbose_rise
30,0.011780305,0.0005984377,-0.011181867,verbose_rise
31,0.0041615814,0.00286936,-0.0012922215,stable
32,0.0011351807,0.00558897,0.0044537894,stable
33,0.015374295,0.003818335,-0.01155596,verbose_rise
34,0.005218242,0.008328211,0.0031099687,stable
35,0.0071150702,0.005469507,-0.0016455632,stable
36,0.000103198254,0.00950153,0.009398332,concise_rise
37,2.2434402e-05,0.004837418,0.0048149833,stable
38,0.0051879557,0.00196301,-0.0032249456,stable
39,0.0058486485,0.004409482,-0.0014391667,stable
40,0.0014358017,0.0051610344,0.0037252326,stable
41,0.00075716106,0.003923216,0.0031660548,stable
42,0.004536236,0.006124031,0.0015877946,stable
43,0.00046551385,0.00033259002,-0.00013292383,stable
44,0.018614944,0.010263178,-0.0083517665,verbose_rise
45,0.00054964283,0.006147587,0.0055979444,concise_rise
46,0.0049613677,0.005322001,0.00036063325,stable
47,3.813848e-05,0.0044689327,0.004430794,stable
48,0.0027470924,0.008111158,0.005364066,concise_rise
49,0.0034032988,0.01679271,0.013389412,concise_rise
50,0.0063343532,0.0083736405,0.0020392872,stable
51,0.0008794285,0.010146519,0.009267091,concise_rise
52,0.0059372643,0.008604715,0.0026674503,stable
53,0.017791603,0.0029551715,-0.0148364315,verbose_rise
54,0.0037185021,0.0022058627,-0.0015126395,stable
55,0.0045295055,0.007019164,0.0024896585,stable
56,0.010357963,0.0014100021,-0.008947961,verbose_rise
57,0.007818389,0.008900849,0.0010824604,stable
58,0.009199226,0.006168339,-0.0030308873,stable
59,0.013300234,0.0037330845,-0.00956715,verbose_rise
60,0.019780412,0.0023673903,-0.017413022,verbose_rise
61,0.004604661,0.0015204917,-0.0030841692,stable
62,0.0041335383,0.0042283237,9.4785355e-05,stable
63,0.0105071515,0.008289511,-0.0022176402,stable
64,0.0003690459,0.0010869467,0.0007179008,stable
65,0.0051195305,0.004572692,-0.0005468386,stable
66,0.003918168,0.0005726381,-0.00334553,stable
67,4.9355687e-05,0.0012310878,0.0011817322,stable
68,0.0005933899,0.010831891,0.0102385,concise_rise
69,0.006618148,5.4964286e-05,-0.006563184,verbose_rise
70,0.0054324903,0.0032002674,-0.0022322228,stable
71,0.004187381,0.011948002,0.0077606207,concise_rise
72,0.009979944,0.004367417,-0.0056125266,verbose_rise
73,0.006980464,0.03613902,0.029158555,concise_rise
74,0.00378244,0.0006057289,-0.003176711,stable
75,0.008845884,0.002885064,-0.0059608202,verbose_rise
76,0.00019742275,0.0009125193,0.00071509654,stable
77,0.01143257,0.013130295,0.0016977247,stable
78,0.26996663,0.019627858,-0.25033876,verbose_rise
79,0.002788596,0.0034016161,0.00061302003,stable
80,0.011830782,0.0029467586,-0.008884023,verbose_rise
81,0.0064465255,0.00028603862,-0.006160487,verbose_rise
82,0.0015659214,0.008522268,0.0069563473,concise_rise
83,0.00020863993,0.015921135,0.015712494,concise_rise
84,0.0072070514,0.013811739,0.006604688,concise_rise
85,0.0071711564,0.0007437004,-0.0064274557,verbose_rise
86,0.0077544507,0.0052558193,-0.0024986314,stable
87,0.015720908,0.010035468,-0.0056854393,verbose_rise
88,0.004126808,0.002151459,-0.0019753492,stable
89,0.009862163,0.007947387,-0.0019147759,stable
90,0.0067718243,0.008053951,0.0012821266,stable
91,0.0066977907,0.019606546,0.012908755,concise_rise
92,0.0027437273,0.003378621,0.0006348938,stable
